Всего структур: 5666

Name                                                    Start        End     Fields
==========================================================================================
_GUID                                                    1943       1949          5
_OSVERSIONINFOA                                          1961       1969          7
_FILETIME                                                1972       1976          3
_WIN32_FIND_DATAA                                        1982       1994         11
tagRECT                                                  2003       2009          5
WNDCLASSA                                                2051       2063         11
HWND__                                                   2066       2069          2
HINSTANCE__                                              2072       2075          2
HICON__                                                  2078       2081          2
HBRUSH__                                                 2084       2087          2
tagWNDCLASSA                                             2090       2102         11
tagPOINT                                                 2105       2109          3
tagMSG                                                   2115       2123          7
_SYSTEMTIME                                              2129       2139          9
_STARTUPINFOA                                            2154       2174         19
_SECURITY_ATTRIBUTES                                     2183       2188          4
_cpinfo                                                  2191       2196          4
_TIME_ZONE_INFORMATION                                   2208       2217          8
_SCOPETABLE_ENTRY                                        2220       2225          4
_EH3_EXCEPTION_REGISTRATION                              2234       2240          5
CPPEH_RECORD                                             2252       2257          4
_EXCEPTION_POINTERS                                      2260       2264          3
_EXCEPTION_RECORD                                        2270       2278          7
_FLOATING_SAVE_AREA                                      2281       2292         10
_CONTEXT                                                 2299       2326         26
_MEMORY_BASIC_INFORMATION                                2333       2342          8
_SYSTEM_INFO                                             2366       2386         15
FuncInfoV1                                               2389       2398          8
UnwindMapEntry                                           2401       2405          3
_NT_TIB                                                  2415       2428         10
_EXCEPTION_REGISTRATION_RECORD                           2449       2453          3
_CLIENT_ID                                               2457       2461          3
_GDI_TEB_BATCH                                           2468       2473          4
_UNICODE_STRING                                          2476       2481          4
_LIST_ENTRY                                              2484       2488          3
_PROCESSOR_NUMBER                                        2491       2496          4
_TEB                                                     2564       2680        105
_PEB                                                     2806       2920         99
_ACTIVATION_CONTEXT_STACK                                2923       2930          6
_TEB_ACTIVE_FRAME                                        2933       2938          4
_PEB_LDR_DATA                                            2941       2952         10
_CURDIR                                                  2955       2959          3
_STRING                                                  2962       2967          4
_RTL_DRIVE_LETTER_CURDIR                                 2970       2976          5
_RTL_USER_PROCESS_PARAMETERS                             2979       3011         31
_RTL_CRITICAL_SECTION                                    3018       3026          7
_ACTIVATION_CONTEXT_DATA                                 3030       3040          9
_RTL_ACTIVATION_CONTEXT_STACK_FRAME                      3043       3048          4
_RTL_CRITICAL_SECTION_DEBUG                              3061       3072         10
cameraPosTarget                                          3075       3087         11
CarDoor                                                  3110       3119          8
Car                                                      3283       3338         54
S32                                                      3341       3349          7
Player                                                   3398       3618        219
Passenger                                                3621       3625          3
Ped                                                      3745       3972        226
SpriteS1                                                 3975       3979          3
EngineStruct                                             3982       4028         45
Model                                                    4031       4070         38
S104                                                     4073       4168         94
S103                                                     4171       4175          3
Gang                                                     4194       4238         43
Gangs                                                    4241       4244          2
Tango                                                    4247       4260         12
S131                                                     4750       4755          4
S161                                                     4793       4898        104
Weapon                                                   4935       4959         23
GameObject                                               4962       5035         72
S169                                                     5038       5055         16
S94                                                      5058       5061          2
CarTransforms                                            5064       5082         17
CarSystemManager                                         5085       5134         48
Arsenal                                                  5137       5142          4
EventHandler                                             5145       5164         18
S39                                                      5167       5175          7
SpriteS3                                                 5178       5184          5
S65                                                      5187       5192          4
AudioSourceParams                                        5265       5273          7
S2_111                                                   5276       5280          3
S3_f                                                     5283       5287          3
S4_d                                                     5290       5294          3
s5_1                                                     5297       5301          3
S6_a                                                     5304       5592        287
S7_3                                                     5595       5599          3
S8__a                                                    5602       5606          3
S9___                                                    5609       5613          3
S10__a                                                   5616       5620          3
S11__a                                                   5623       5627          3
S12__d                                                   5630       5634          3
SpriteStructure                                          5637       5641          3
S41                                                      5644       5651          6
GangInfo                                                 5654       5664          9
SpriteS2                                                 5667       5671          3
HKEY__                                                   5674       5677          2
s219                                                     5755       5760          4
S218                                                     5763       5767          3
Z1                                                       5770       5774          3
type_info                                                5778       5783          4
_PMD                                                     5787       5792          4
_RTTIClassHierarchyDescriptor                            5796       5802          5
_RTTIBaseClassDescriptor                                 5806       5812          5
_RTTICompleteObjectLocator                               5816       5823          6
GUI                                                      5862       5871          8
MenuItem                                                 5874       5880          5
MenuPage                                                 5883       5891          7
S138                                                     5907       5913          5
S140                                                     5941       5949          7
S139                                                     5952       5956          3
IDirectInputA                                            6064       6067          2
IDirectInputDeviceA                                      6070       6073          2
IDirectInputAVtbl                                        6091       6101          9
IDirectInputDeviceAVtbl                                  6137       6157         19
IUnknown                                                 6161       6164          2
DIDEVICEINSTANCEA                                        6168       6179         10
DIDEVCAPS                                                6182       6195         12
DIDEVICEOBJECTINSTANCEA                                  6198       6215         16
DIPROPHEADER                                             6218       6224          5
DIDEVICEOBJECTDATA                                       6227       6234          6
_DIDATAFORMAT                                            6240       6248          7
IUnknownVtbl                                             6252       6257          4
_DIOBJECTDATAFORMAT                                      6261       6267          5
Game                                                     6270       6292         21
S100_Aaa                                                 6295       6299          3
S900                                                     6358       6364          5
S801                                                     6375       6475         99
S6_1                                                     6663       6722         58
S6_2                                                     6733       6737          3
SoundInfo                                                6829       6850         20
Animation                                                6853       6861          7
Viewport                                                 6871       6876          4
Camera                                                   6879       6883          3
S167                                                     7040       7045          4
S166                                                     7048       7051          2
HudMessage                                               7162       7171          8
WeaponDatabase                                           7328       7336          7
S350                                                     7388       7398          9
General                                                  7401       7405          3
Text                                                     7414       7423          8
_iobuf                                                   7426       7429          2
Registry                                                 7432       7440          7
Style                                                    7443       7479         35
